"","...1","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network","Treatment1","Treatment2","Kingdom2","Treatment3"
"16004","Bac101",0.65625,-0.0133066304322959,"Connector","Bac101","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis","_","Bac101","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16015","Bac263",0.666666666666667,-0.227311385014374,"Connector","Bac263","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Flavisolibacter","_","Bac263","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16016","Bac272",0.66,-0.414142062150997,"Connector","Bac272","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","BdellovibrionaceaeFA","_","Bac272","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16018","Bac294",0.765432098765432,-0.126543407879471,"Connector","Bac294","Prokaryote","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","OpitutaceaeFA","_","Bac294","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16019","Bac325",0.722222222222222,-0.304349325259123,"Connector","Bac325","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","AlphaproteobacteriaCL","AlphaproteobacteriaCL","AlphaproteobacteriaCL","_","Bac325","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16020","Bac331",0.6875,-0.0133066304322959,"Connector","Bac331","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Luteolibacter","_","Bac331","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16023","Bac359",0.736111111111111,0.0160183855399538,"Connector","Bac359","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","BdellovibrionaceaeFA","_","Bac359","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16029","Bac578",0.666666666666667,-0.447213595499958,"Connector","Bac578","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Sphingobacteriaceae","SphingobacteriaceaeFA","_","Bac578","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16030","Bac608",0.72,-0.227311385014374,"Connector","Bac608","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac608","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16031","Bac610",0.693877551020408,-0.148036263559289,"Connector","Bac610","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","BacteriovoracaceaeFA","_","Bac610","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16033","Bac706",0.6875,-0.144165469859584,"Connector","Bac706","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","AlphaproteobacteriaCL","AlphaproteobacteriaCL","AlphaproteobacteriaCL","_","Bac706","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16037","Bac1094",0.625,0,"Connector","Bac1094","Prokaryote","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Flavobacterium","_","Bac1094","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16041","Bac1412",0.625,-0.353553390593274,"Connector","Bac1412","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","BacteriovoracaceaeFA","_","Bac1412","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16044","Bac24",0.760330578512397,-0.126543407879471,"Connector","Bac24","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac24","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16045","Bac30",0.72,-0.414142062150997,"Connector","Bac30","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac30","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16047","Bac49",0.666666666666667,-0.227311385014374,"Connector","Bac49","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac49","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16048","Bac82",0.666666666666667,-0.227311385014374,"Connector","Bac82","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac82","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16052","Bac108",0.666666666666667,-0.227311385014374,"Connector","Bac108","Prokaryote","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","CryomorphaceaeFA","_","Bac108","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16053","Bac122",0.72,-0.304349325259123,"Connector","Bac122","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac122","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16054","Bac161",0.65625,0.0160183855399538,"Connector","Bac161","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Dyadobacter","_","Bac161","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16058","Bac217",0.65625,-0.0133066304322959,"Connector","Bac217","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","XanthomonadaceaeFA","_","Bac217","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16059","Bac220",0.625,-0.0151540923342916,"Connector","Bac220","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac220","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16061","Bac314",0.625,-0.282765896686282,"Connector","Bac314","Prokaryote","Bacteria","Verrucomicrobia","Spartobacteria","Spartobacteriales","Spartobacteriaceae","Chthoniobacter","_","Bac314","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16062","Bac315",0.72,-0.447213595499958,"Connector","Bac315","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","VerrucomicrobiaceaeFA","_","Bac315","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16065","Bac387",0.8,-0.353553390593274,"Connector","Bac387","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","MyxococcalesOR","MyxococcalesOR","_","Bac387","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16066","Bac418",0.666666666666667,-0.227311385014374,"Connector","Bac418","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","BacteriovoracaceaeFA","_","Bac418","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16067","Bac425",0.6875,0.0160183855399538,"Connector","Bac425","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","BdellovibrionaceaeFA","_","Bac425","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16068","Bac455",0.666666666666667,-0.227311385014374,"Connector","Bac455","Prokaryote","Bacteria","Acidobacteria","_","_","_","_","_","Bac455","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16071","Bac527",0.64,-0.304349325259123,"Connector","Bac527","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac527","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16075","Bac613",0.666666666666667,-0.227311385014374,"Connector","Bac613","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","MIZ46OR","MIZ46OR","_","Bac613","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16077","Bac726",0.666666666666667,-0.227311385014374,"Connector","Bac726","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","XanthomonadaceaeFA","_","Bac726","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16078","Bac780",0.625,-0.282765896686282,"Connector","Bac780","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","MIZ46OR","MIZ46OR","_","Bac780","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16079","Bac805",0.75,-0.227311385014374,"Connector","Bac805","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Sphingobacteriaceae","SphingobacteriaceaeFA","_","Bac805","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16080","Bac845",0.666666666666667,-0.126543407879471,"Connector","Bac845","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flammeovirgaceae","Sporocytophaga","_","Bac845","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16084","Bac957",0.625,-0.0151540923342916,"Connector","Bac957","Prokaryote","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","CryomorphaceaeFA","_","Bac957","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16085","Bac1021",0.625,-0.282765896686282,"Connector","Bac1021","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","BdellovibrionaceaeFA","_","Bac1021","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16086","Bac1072",0.64,-0.0151540923342916,"Connector","Bac1072","Prokaryote","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","OpitutaceaeFA","_","Bac1072","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16093","Bac44",0.65625,0.0160183855399538,"Connector","Bac44","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buchnera","_","Bac44","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16094","Bac63",0.72,0,"Connector","Bac63","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac63","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16101","Bac151",0.72,-0.353553390593274,"Connector","Bac151","Prokaryote","Bacteria","Chloroflexi","TK17","S085","S085OR","S085OR","_","Bac151","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16102","Bac209",0.666666666666667,-0.353553390593274,"Connector","Bac209","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","CaulobacteraceaeFA","_","Bac209","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16104","Bac323",0.625,0,"Connector","Bac323","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","MyxococcalesOR","MyxococcalesOR","_","Bac323","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16113","Bac674",0.666666666666667,-0.577350269189626,"Connector","Bac674","Prokaryote","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","FlavobacteriaceaeFA","_","Bac674","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16118","Bac969",0.691358024691358,0.0160183855399538,"Connector","Bac969","Prokaryote","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Fluviicola","_","Bac969","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16121","Bac1417",0.666666666666667,-0.447213595499958,"Connector","Bac1417","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","PolyangiaceaeFA","_","Bac1417","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Bacteria","Control"
"16303","OTU1Cladosporium",0.435727788279773,4.02858236337749,"Module hub","OTU1Cladosporium","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Davidiellaceae","Cladosporium","Saprotroph","OTU1Cladosporium","Non-Yeast","Saprotroph","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Fungi","Control"
"16304","OTU2Setophoma",0.717916404116782,5.07662093198769,"Network hub","OTU2Setophoma","Eukaryote","Fungi","Ascomycota","_","_","_","Setophoma","Plant pathogen","OTU2Setophoma","Non-Yeast","Plant pathogen","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Fungi","Control"
"16306","OTU18Gibberella",0.729487713452728,4.97168979526644,"Network hub","OTU18Gibberella","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Plant pathogen","OTU18Gibberella","Non-Yeast","Plant pathogen","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Fungi","Control"
"16313","OTU35Myrothecium",0.364870982344953,4.43277126275847,"Module hub","OTU35Myrothecium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotriaceae","Striaticonidium","Saprotroph","OTU35Myrothecium","Non-Yeast","Saprotroph","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Fungi","Control"
"16328","OTU56Agaricomycetes",0.509861212563915,3.37987934893026,"Module hub","OTU56Agaricomycetes","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","_","Oliveonia","Saprotroph","OTU56Agaricomycetes","Non-Yeast","Saprotroph","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Fungi","Control"
"16335","OTU97Penicillium",0,7.63580356990461,"Module hub","OTU97Penicillium","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Saprotroph","OTU97Penicillium","Non-Yeast","Saprotroph","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Fungi","Control"
"16338","OTU88Pseudozyma",0.480259599783667,3.48966383086952,"Module hub","OTU88Pseudozyma","Eukaryote","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Pseudozyma","SaprotrophYeast","OTU88Pseudozyma","Yeast","SaprotrophYeast","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Fungi","Control"
"16340","OTU197Fungi",0.625,1.78885438199983,"Connector","OTU197Fungi","Eukaryote","Fungi","unidentified","_","_","_","_","Unidentified & others","OTU197Fungi","Non-Yeast","Unidentified & others","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Fungi","Control"
"16354","OTU118Rhizophagus",0.394463667820069,2.74944313483578,"Module hub","OTU118Rhizophagus","Eukaryote","Fungi","Mucoromycota","Glomeromycotina","Glomerales","Glomeraceae","Rhizophagus","Arbuscular mycorrhizal","OTU118Rhizophagus","Non-Yeast","Arbuscular mycorrhizal","Rhizosphere","Control",2,9,"interBF","Drought period","Control","Fungi","Control"
