"","...1","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network","Treatment1","Treatment2","Kingdom2","Treatment3"
"9918","Bac1246",0.412964343669137,3.10766238605888,"Module hub","Bac1246","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","PolyangiaceaeFA","_","Bac1246","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"crossBF","Rewetting period","Drought","Bacteria","Rewetting"
"9923","Bac1268",0.370238519045924,2.7498400608502,"Module hub","Bac1268","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","_","Bac1268","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"crossBF","Rewetting period","Drought","Bacteria","Rewetting"
"10237","Bac1880",0.666666666666667,-0.804067097007087,"Connector","Bac1880","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","BacteriovoracaceaeFA","_","Bac1880","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"crossBF","Rewetting period","Drought","Bacteria","Rewetting"
"10356","Bac3",0,3.32122837144406,"Module hub","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10362","Bac9",0,2.75293132327915,"Module hub","Bac9","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptosporangiaceae","Nonomuraea","_","Bac9","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10371","Bac17",0,2.90447720278979,"Module hub","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10373","Bac25",1.11022302462516e-16,3.4727742509547,"Module hub","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10380","Bac32",0,2.98025014254512,"Module hub","Bac32","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac32","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10397","Bac45",0,3.0939095521781,"Module hub","Bac45","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","PseudonocardiaceaeFA","_","Bac45","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10399","Bac58",0,2.79081779315681,"Module hub","Bac58","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac58","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10411","Bac61",0,3.13179602205576,"Module hub","Bac61","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac61","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10417","Bac76",1.11022302462516e-16,3.51066072083236,"Module hub","Bac76","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac76","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10429","Bac92",0.666666666666667,-0.574505357785368,"Connector","Bac92","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac92","Non-Actinobacteria","Non-Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10430","Bac95",0.64,-0.574505357785368,"Connector","Bac95","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","RhodocyclalesOR","RhodocyclalesOR","_","Bac95","Non-Actinobacteria","Non-Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10456","Bac128",0,2.82870426303447,"Module hub","Bac128","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Intrasporangiaceae","IntrasporangiaceaeFA","_","Bac128","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10483","Bac155",0,2.71504485340149,"Module hub","Bac155","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardiaceae","NocardiaceaeFA","_","Bac155","Actinobacteria","Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10625","Bac340",0.625,-1.04550301524286,"Connector","Bac340","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac340","Non-Actinobacteria","Non-Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
"10637","Bac394",0,3.16968249193342,"Module hub","Bac394","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Shimazuella","_","Bac394","Non-Actinobacteria","Non-Actinobacteria","Root","Control",2,9,"crossBF","Drought period","Control","Bacteria","Control"
